station,valid, tmpf ,  vsby
NYC,1/3/00 11:51,59,6
NYC,1/3/00 12:51,60.98,7
NYC,1/3/00 13:51,62.06,7
NYC,1/3/00 15:51,60.08,6
NYC,1/3/00 16:51,59,6
NYC,1/3/00 17:51,55.94,7
NYC,1/3/00 18:51,55.94,8
NYC,1/3/00 19:51,51.98,2
NYC,1/3/00 19:57,55.04,7
NYC,1/3/00 20:51,48.92,M
NYC,1/3/00 20:52,53.06,6
NYC,1/3/00 21:52,51.98,5
NYC,1/3/00 22:52,51.98,5
NYC,1/3/00 23:52,51.98,5
NYC,1/4/00 0:52,51.98,4
NYC,1/4/00 1:52,51.08,5
NYC,1/4/00 2:51,50,6
NYC,1/4/00 3:51,51.08,8
NYC,1/4/00 4:51,52.88,8
NYC,1/4/00 7:51,53.06,3
NYC,1/4/00 8:51,55.04,4
NYC,1/4/00 9:51,60.08,10
NYC,1/4/00 10:51,55.4,8
NYC,1/4/00 11:51,55.94,9
NYC,1/4/00 12:51,59,10
NYC,1/4/00 13:51,57.92,10
NYC,1/4/00 14:51,59,9
NYC,1/4/00 15:51,59,10
NYC,1/4/00 16:51,59,4
NYC,1/4/00 17:51,57.92,9
NYC,1/4/00 18:51,53.96,3
NYC,1/4/00 21:51,48.92,4
NYC,1/4/00 23:51,48.92,6
NYC,1/5/00 0:51,46.04,10
NYC,1/5/00 1:51,46.04,10
NYC,1/5/00 2:51,42.98,10
NYC,1/5/00 4:51,41,10
NYC,1/5/00 6:51,35.96,10
NYC,1/5/00 7:51,33.98,10
NYC,1/5/00 8:51,33.08,10
NYC,1/5/00 9:51,33.08,10
NYC,1/5/00 10:51,33.98,10
NYC,1/5/00 11:51,35.06,10
NYC,1/5/00 12:51,35.96,10
NYC,1/5/00 13:51,35.96,10
NYC,1/5/00 14:51,35.96,10
NYC,1/5/00 15:51,35.06,10
NYC,1/5/00 16:51,33.98,10
NYC,1/5/00 17:51,33.08,10
NYC,1/5/00 18:51,32,10
NYC,1/5/00 18:52,32,10
NYC,1/5/00 19:51,32,10
NYC,1/5/00 20:51,30.92,10
NYC,1/5/00 21:51,30.02,10
NYC,1/5/00 22:51,30.02,10
NYC,1/5/00 23:51,28.94,10
NYC,1/6/00 0:51,28.94,10
NYC,1/6/00 1:51,28.94,10
NYC,1/6/00 2:51,28.04,10
NYC,1/6/00 4:51,28.04,10
NYC,1/6/00 5:51,28.04,10
NYC,1/6/00 6:51,28.04,10
NYC,1/6/00 7:51,28.04,10
NYC,1/6/00 8:51,30.92,10
NYC,1/6/00 9:51,33.08,10
NYC,1/6/00 10:51,35.96,10
NYC,1/6/00 12:51,39.92,10
NYC,1/6/00 13:51,41,10
NYC,1/6/00 14:51,42.08,10
NYC,1/6/00 15:51,41,10
NYC,1/6/00 16:51,39.92,10
NYC,1/6/00 17:51,41,10
NYC,1/6/00 18:51,41,10
NYC,1/6/00 19:51,41,10
NYC,1/6/00 20:51,41,10
NYC,1/6/00 21:51,41,10
NYC,1/6/00 22:51,41,10
NYC,1/7/00 0:51,41,10
NYC,1/7/00 1:51,39.92,10
NYC,1/7/00 2:51,39.92,10
NYC,1/7/00 3:51,39.92,10
NYC,1/7/00 4:51,39.92,10
NYC,1/7/00 5:51,39.02,10
NYC,1/7/00 6:51,39.02,10
NYC,1/7/00 7:51,39.92,10
NYC,1/7/00 8:51,39.92,10
NYC,1/7/00 9:51,39.92,8
NYC,1/7/00 11:51,44.06,10
NYC,1/7/00 12:51,46.04,10
NYC,1/7/00 13:51,48.02,10
NYC,1/7/00 14:51,48.02,10
NYC,1/7/00 15:51,46.94,10
NYC,1/7/00 16:51,44.06,10
NYC,1/7/00 19:51,39.02,10
NYC,1/7/00 20:51,37.04,10
NYC,1/7/00 21:51,37.04,10
NYC,1/7/00 22:51,35.96,10
NYC,1/7/00 23:51,35.06,10
NYC,1/8/00 0:51,33.98,10
NYC,1/8/00 1:51,33.08,10
NYC,1/8/00 2:51,32,10
NYC,1/8/00 4:51,32,10
NYC,1/8/00 5:51,32,10
NYC,1/8/00 6:51,30.02,10
NYC,1/8/00 7:51,30.02,10
NYC,1/8/00 8:51,30.02,10
NYC,1/8/00 9:51,32,10
NYC,1/8/00 10:51,33.08,10
NYC,1/8/00 11:51,35.06,10
NYC,1/8/00 12:51,37.04,10
NYC,1/8/00 13:51,37.94,10
NYC,1/8/00 14:51,37.94,10
NYC,1/8/00 15:51,37.04,10
NYC,1/8/00 18:51,37.04,10
NYC,1/8/00 19:51,37.04,10
NYC,1/8/00 20:51,37.94,10
NYC,1/8/00 21:51,37.94,10
NYC,1/8/00 22:51,37.94,10
NYC,1/8/00 23:51,37.94,10
NYC,1/9/00 0:51,37.04,10
NYC,1/9/00 1:51,37.94,10
NYC,1/9/00 2:51,37.94,10
NYC,1/9/00 3:51,37.94,10
NYC,1/9/00 4:51,37.94,10
NYC,1/9/00 5:51,37.94,10
NYC,1/9/00 6:51,39.02,10
NYC,1/9/00 7:51,39.02,10
NYC,1/9/00 8:51,39.92,10
NYC,1/9/00 9:51,41,10
NYC,1/9/00 10:51,44.96,10
NYC,1/9/00 11:51,46.94,10
NYC,1/9/00 12:51,50,10
NYC,1/9/00 13:51,50,10
NYC,1/9/00 14:51,50,10
NYC,1/9/00 15:51,46.94,10
NYC,1/9/00 16:51,48.02,10
NYC,1/9/00 17:51,46.94,10
NYC,1/9/00 18:51,48.02,10
NYC,1/9/00 20:51,48.02,10
NYC,1/9/00 21:51,44.96,10
NYC,1/9/00 22:51,46.04,10
NYC,1/9/00 23:51,44.06,10
NYC,1/10/00 0:51,44.06,10
NYC,1/10/00 1:51,44.06,10
NYC,1/10/00 2:51,44.6,10
NYC,1/10/00 3:51,44.6,10
NYC,1/10/00 4:51,44.06,10
NYC,1/10/00 5:51,44.06,9
