,center,gridID,num_establishments,num_liquor_stores,num_restaurants,num_stores,num_bars
0,"[40.58126700435262, -73.88885569258588]",35265,0,0,0,0,0
1,"[40.58126700435262, -73.88696208494963]",35494,0,0,0,0,0
2,"[40.58126700435262, -73.88506847731342]",35723,0,0,0,0,0
3,"[40.58270515366833, -73.88885569258588]",35264,0,0,0,0,0
4,"[40.58270515366833, -73.88696208494963]",35493,0,0,0,0,0
5,"[40.58270515366833, -73.88506847731342]",35722,0,0,0,0,0
6,"[40.58126700435262, -73.88317486967719]",35952,1,0,0,0,0
7,"[40.58270515366833, -73.88317486967719]",35951,0,0,0,0,0
8,"[40.58270515366833, -73.88128126204097]",36180,1,0,0,0,0
9,"[40.58270515366833, -73.87938765440474]",36409,0,0,0,0,0
10,"[40.58126700435262, -73.87938765440474]",36410,0,0,0,0,0
11,"[40.58126700435262, -73.88128126204097]",36181,0,0,0,0,0
12,"[40.58126700435262, -73.8774940467685]",36639,0,0,0,0,0
13,"[40.58126700435262, -73.87560043913228]",36868,0,0,0,0,0
14,"[40.58126700435262, -73.87370683149605]",37097,0,0,0,0,0
15,"[40.58126700435262, -73.87181322385982]",37326,0,0,0,0,0
16,"[40.58126700435262, -73.86991961622361]",37555,0,0,0,0,0
17,"[40.58126700435262, -73.86802600858738]",37784,0,0,0,0,0
18,"[40.58126700435262, -73.84530271695266]",40532,5,0,0,0,0
19,"[40.58126700435262, -73.84719632458888]",40303,6,0,0,0,0
20,"[40.58270515366833, -73.84719632458888]",40302,0,0,0,0,0
21,"[40.58270515366833, -73.84530271695266]",40531,0,0,0,0,0
22,"[40.58270515366833, -73.84340910931643]",40760,0,0,0,0,0
23,"[40.58126700435262, -73.84340910931643]",40761,10,0,0,0,0
24,"[40.58126700435262, -73.84151550168019]",40990,6,0,0,1,0
25,"[40.58270515366833, -73.84151550168019]",40989,0,0,0,0,0
26,"[40.58414327206371, -73.84530271695266]",40530,0,0,0,0,0
27,"[40.58414327206371, -73.84340910931643]",40759,0,0,0,0,0
28,"[40.58414327206371, -73.84151550168019]",40988,0,0,0,0,0
29,"[40.585581359538565, -73.84151550168019]",40987,0,0,0,0,0
30,"[40.58701941609259, -73.84340910931643]",40757,0,0,0,0,0
31,"[40.58701941609259, -73.84151550168019]",40986,0,0,0,0,0
32,"[40.585581359538565, -73.84340910931643]",40758,0,0,0,0,0
33,"[40.58701941609259, -73.84530271695266]",40528,0,0,0,0,0
34,"[40.585581359538565, -73.84530271695266]",40529,0,0,0,0,0
35,"[40.58414327206371, -73.84719632458888]",40301,0,0,0,0,0
36,"[40.58701941609259, -73.84719632458888]",40299,0,0,0,0,0
37,"[40.585581359538565, -73.84719632458888]",40300,0,0,0,0,0
38,"[40.58270515366833, -73.84908993222511]",40073,0,0,0,0,0
39,"[40.58414327206371, -73.85098353986135]",39843,0,0,0,0,0
40,"[40.58270515366833, -73.85098353986135]",39844,0,0,0,0,0
41,"[40.58414327206371, -73.84908993222511]",40072,0,0,0,0,0
42,"[40.585581359538565, -73.85098353986135]",39842,0,0,0,0,0
43,"[40.585581359538565, -73.84908993222511]",40071,0,0,0,0,0
44,"[40.58701941609259, -73.84908993222511]",40070,0,0,0,0,0
45,"[40.58845744172555, -73.85098353986135]",39840,0,0,0,0,0
46,"[40.58701941609259, -73.85098353986135]",39841,0,0,0,0,0
47,"[40.58845744172555, -73.84908993222511]",40069,0,0,0,0,0
48,"[40.585581359538565, -73.85287714749757]",39613,0,0,0,0,0
49,"[40.58845744172555, -73.85287714749757]",39611,0,0,0,0,0
50,"[40.58701941609259, -73.85287714749757]",39612,0,0,0,0,0
51,"[40.58414327206371, -73.85287714749757]",39614,0,0,0,0,0
52,"[40.58270515366833, -73.85287714749757]",39615,0,0,0,0,0
53,"[40.58126700435262, -73.85287714749757]",39616,1,0,0,0,0
54,"[40.58126700435262, -73.85098353986135]",39845,1,0,0,0,0
55,"[40.58126700435262, -73.84908993222511]",40074,5,0,0,0,0
56,"[40.58126700435262, -73.85666436277]",39158,0,0,0,0,0
57,"[40.58126700435262, -73.8547707551338]",39387,0,0,0,0,0
58,"[40.58414327206371, -73.8547707551338]",39385,0,0,0,0,0
59,"[40.58270515366833, -73.8547707551338]",39386,0,0,0,0,0
60,"[40.58414327206371, -73.85666436277]",39156,0,0,0,0,0
