gridID,predicted
29233,1
36209,1
33933,0
27473,0
31288,1
27238,0
24390,1
31967,0
22112,1
35607,1
38591,0
34721,0
39687,0
25350,0
36337,0
29377,1
38027,0
38580,0
32252,0
39968,1
27137,1
30035,0
29014,1
21658,1
32007,1
22344,1
27868,1
39771,1
32391,1
31475,0
29138,1
30617,1
33848,1
32331,1
31187,1
28010,1
26978,1
23014,1
31878,1
29226,1
27880,1
22798,1
27654,1
29129,1
26539,0
34619,1
33014,1
28689,1
27094,1
32789,1
33494,1
45250,1
34744,1
38348,0
47043,0
43137,0
39284,0
28784,1
37444,0
37890,1
29013,1
25045,1
31696,0
22566,1
40848,0
29164,1
25725,1
35076,1
27783,1
30857,1
37361,0
28241,1
22561,1
23261,1
36687,1
26296,1
29246,1
32790,1
24175,1
29491,1
31768,1
32201,0
33846,0
28243,1
24431,1
29527,1
28232,1
26028,0
28552,1
23910,1
40353,1
27639,1
48931,0
23224,1
25505,0
43438,0
30188,0
24717,0
23013,1
27095,1
32789,1
47314,1
39286,1
40907,0
34870,0
26318,0
29156,1
35213,1
22555,1
42240,1
45963,0
38753,1
22561,1
30388,1
34040,1
39982,0
30378,1
32787,1
27777,1
35538,1
43408,0
53223,0
38990,0
5480,0
43640,0
24915,1
28236,1
26514,1
25155,1
34304,0
24816,1
36340,1
38068,1
28340,0
27671,1
23458,1
18285,1
23006,1
29240,1
27390,1
30957,0
22094,0
36209,1
27094,1
28458,1
30096,0
29585,1
21637,0
28710,0
28094,0
31767,0
35515,0
31876,1
28548,0
28080,0
22791,1
33143,1
30388,1
38368,1
26883,1
23722,1
28685,1
33846,0
25951,0
27325,1
33266,1
38812,0
33370,0
28913,1
25839,1
41168,0
39290,1
26511,1
33381,1
27868,1
32166,0
22372,1
51467,0
23681,0
40310,0
29129,1
30572,0
38984,1
27561,1
30144,0
28699,1
38275,0
42010,1
40311,0
22576,1
44879,0
37676,0
21698,0
21939,1
32811,1
40353,0
36987,0
51508,1
25380,0
28242,1
28480,1
25725,1
37144,0
26748,1
30986,1
21911,0
46180,1
32852,1
26243,1
44078,0
36694,1
30966,1
28230,1
27174,1
22841,1
31674,1
31715,1
31674,1
22143,1
26754,0
34632,0
23018,1
24613,1
24130,0
18749,0
40580,1
42164,0
22325,1
44987,0
55316,0
34638,1
24861,0
34622,1
35290,0
31475,0
44347,1
23238,1
27095,1
21415,1
33138,1
29369,0
33698,1
49393,0
36802,1
33618,1
54433,0
48685,0
30169,1
28232,1
28460,1
31879,1
32353,1
53760,0
26428,0
20117,0
26881,0
26184,1
5913,0
32792,1
42402,0
27431,1
22576,1
38584,1
26932,1
27537,1
46400,1
37951,0
33146,1
32153,1
28248,1
40540,0
43186,0
20726,1
36287,0
25581,1
29008,1
41779,0
26930,1
37890,1
38983,1
31516,1
33483,1
37664,1
34638,1
35331,0
44798,0
23808,1
22324,1
32695,0
28707,1
24816,1
18973,1
33148,0
43441,0
26721,1
43151,0
22777,1
33953,0
34740,1
29125,1
37898,0
32918,1
32656,0
28325,1
34181,1
32328,1
25116,1
24430,1
32449,1
35770,1
33265,1
25964,0
34310,1
1790,0
24179,1
21884,1
39527,0
26968,1
21422,1
54425,0
26243,1
31123,0
33853,0
32913,1
37602,0
21648,1
28280,0
42465,0
51056,0
53043,0
34039,0
31478,0
