gridID,hour,expected
36469,Nov,1
34182,Jul,1
52119,Nov,1
34869,Feb,1
33235,Mar,1
20789,Mar,1
30521,Jul,1
28575,May,1
29917,Jul,1
23967,Sep,1
39172,Jan,1
38067,Mar,1
30719,Nov,1
46708,Aug,1
34006,Jul,1
20797,Mar,1
30033,Jan,1
33145,Feb,1
21259,Jul,1
32476,Jul,1
29923,Aug,1
35457,Aug,1
33690,Dec,1
37586,Jun,1
30524,Feb,1
31195,Mar,1
51007,Jul,1
33925,Aug,1
35760,Dec,1
31280,Sep,1
24361,Aug,1
33015,Aug,1
35602,Nov,1
51514,Sep,1
25340,Oct,1
36978,Oct,1
33929,Apr,1
28697,Apr,1
38295,Dec,1
37449,Dec,1
31315,Jan,1
33254,Nov,1
19856,Jul,1
30949,Mar,1
38063,Oct,1
24021,Oct,1
26765,Nov,1
3180,Mar,1
23561,Jan,1
46637,Jan,1
42750,Dec,1
31664,Dec,1
29000,Apr,1
39502,Dec,1
43207,Dec,1
26949,Dec,1
28100,Dec,1
27237,Aug,1
23775,May,1
31997,Jun,1
32775,Sep,1
39973,Jan,1
51666,Dec,1
31122,Nov,1
45029,Dec,1
22799,Dec,1
28543,Dec,1
32689,Jan,1
49796,Dec,1
29870,Dec,1
49848,Jun,1
31542,Nov,1
27443,Nov,1
45051,Dec,1
28684,Apr,1
48937,Aug,1
28250,Dec,1
30150,Dec,1
27398,Feb,1
35082,Dec,1
22863,Jun,1
32432,Jan,1
28081,May,1
32445,Jun,1
22772,Dec,1
23071,Oct,1
37899,Dec,1
32908,Dec,1
30984,May,1
32783,Jan,1
29147,Oct,1
30379,Mar,1
24632,Dec,1
20313,Feb,1
27630,Jan,1
30954,Jan,1
22426,Dec,1
35081,Dec,1
33679,Dec,1
28991,Dec,1
33701,Dec,1
23013,Dec,1
27176,Dec,1
27767,Feb,1
26949,Aug,1
38527,Feb,1
26744,Oct,1
21861,Aug,1
32456,Jan,1
32460,Dec,1
30379,Dec,1
25630,Dec,1
29511,Mar,1
29387,Jan,1
46419,Dec,1
27571,Feb,1
29259,Dec,1
31643,May,1
50314,Sep,1
32226,Dec,1
33147,Jun,1
12321,Jan,1
46645,Sep,1
42080,Dec,1
39868,May,1
33139,Jan,1
28021,Dec,1
33712,May,1
18057,Jun,1
29284,Jan,1
28472,Jul,1
41385,Jan,1
33142,Dec,1
25964,Jan,1
23700,Oct,1
22776,Mar,1
27995,Nov,1
37811,Jan,1
33921,Dec,1
32113,Oct,1
2025,Jan,1
33714,Jan,1
37731,Apr,1
37118,Oct,2
41149,Jul,4
42274,Sep,1
45939,Oct,1
28549,Jul,2
33945,Sep,1
31628,Aug,1
30388,Jun,1
38062,Feb,1
23921,Nov,1
21732,Aug,1
38735,Feb,1
48478,Nov,1
23707,Jul,4
37840,Oct,1
36748,Dec,1
31309,Mar,1
27548,Jan,1
24833,Jan,1
30556,Aug,1
32151,Jan,1
38286,Oct,1
12561,Apr,1
23240,Jul,1
28897,Nov,1
27618,Jul,1
28933,Oct,1
37850,Jun,1
31879,Jan,1
33146,Oct,1
28001,Jan,1
39771,Jan,2
32815,Mar,1
39179,Oct,1
38990,Apr,1
31428,Aug,1
26949,Feb,1
27770,Sep,1
50322,Sep,1
33700,Apr,1
47622,May,1
30430,Jan,2
45020,Mar,1
29464,Jul,1
45720,Feb,1
25492,Sep,1
25343,Apr,1
31527,Sep,3
45940,Mar,1
29933,Jul,1
50060,Jun,1
29154,Jun,1
30982,Nov,1
32783,Feb,1
24431,Oct,1
39438,Dec,1
31550,Sep,1
29155,Jun,1
35072,Oct,1
25623,May,1
26199,Sep,1
29027,Feb,1
22775,Feb,1
24131,Nov,1
25109,Nov,1
30627,Jun,1
26183,Jan,2
37209,Mar,1
35228,Mar,1
26865,Sep,2
38052,Sep,1
23973,May,1
25498,May,1
34155,Oct,1
26056,Mar,3
33252,Jan,3
24691,Aug,1
29870,Oct,3
50285,Dec,1
31074,Nov,1
37586,Sep,2
39899,Jul,1
34414,Sep,1
37034,Feb,1
51234,Dec,1
49453,Jul,1
20960,Dec,1
22868,Mar,1
48228,Jan,1
24389,Oct,2
29238,May,1
26527,Oct,1
28457,Nov,1
29582,Feb,2
24154,Apr,1
38270,Nov,1
52127,Mar,1
29143,May,1
43206,Apr,1
51176,Oct,1
30144,Jul,1
43137,May,1
22784,Nov,1
41469,Apr,1
31940,May,1
28030,Jul,2
30487,Sep,1
49396,Nov,1
23020,Jun,2
27567,Jul,1
45477,Oct,1
30637,Jun,1
49124,Jan,1
22555,Jul,2
30106,Jul,1
35426,May,1
35459,Nov,2
39331,Oct,1
25964,Jul,1
30395,May,1
35221,Sep,1
33367,Mar,1
29069,Apr,1
35831,Jun,1
39747,Nov,4
45047,Nov,1
27326,Apr,1
37031,May,1
26497,Jun,1
21026,Dec,1
32112,Dec,1
39051,May,1
24234,Nov,1
8433,Jul,1
39047,Sep,1
33925,Apr,1
28685,Jan,2
23932,Oct,1
33231,Apr,2
33846,Jun,1
33373,Feb,1
32886,Sep,1
22791,Nov,1
39968,Jun,1
22336,Jun,2
34837,Nov,1
37813,May,1
33625,Jun,1
40101,Jul,1
38364,Aug,1
29695,Aug,1
32670,Jun,1
28222,Jun,1
28227,Aug,1
35538,Jan,2
42968,Jun,1
27440,Mar,1
27779,Oct,1
28701,Jun,1
38956,May,1
31878,Jan,1
28093,Feb,1
37354,Mar,1
28492,Oct,1
29472,Dec,1
26640,Mar,1
24816,Oct,1
38375,May,1
41599,Jun,1
33831,Jun,1
35300,Oct,1
37496,Aug,1
22345,Jun,1
31259,Jan,1
21950,Jul,2
29847,May,1
29458,Jul,2
33472,Dec,1
30430,Mar,1
28903,Feb,1
51213,Mar,1
20958,Feb,1
50369,Mar,1
39771,Aug,2
26966,Mar,1
37209,Apr,1
23707,Jan,1
32113,Jun,1
48410,Sep,1
28799,Dec,2
31012,Jul,1
29008,Jul,1
36527,Feb,1
35531,Mar,1
31295,Jan,1
48229,Apr,1
36067,Nov,1
50364,Dec,1
30261,Feb,2
29218,Jun,1
31106,Sep,1
51197,Sep,1
40349,Aug,1
32335,Jul,1
41149,Jan,1
33376,Aug,3
36805,Mar,1
9617,Aug,1
37488,Mar,1
34389,Sep,1
34155,Jul,2
29993,Oct,1
24129,Jan,1
11180,Aug,1
47313,Jun,1
33700,Mar,1
35311,Jun,1
35998,Apr,2
23922,Aug,1
35423,Apr,1
12092,May,1
52599,Apr,1
22780,Aug,1
9119,Sep,1
51924,Dec,1
23945,Aug,1
45253,Nov,1
34383,Sep,1
31672,May,1
37605,Aug,1
30517,Jul,1
51230,Aug,1
38948,May,1
50769,Oct,1
19648,Jan,1
32581,May,1
37598,Oct,1
26742,May,1
21700,May,1
32226,Feb,4
23460,Sep,1
30734,Jul,1
25964,May,3
32205,May,1
27422,Oct,1
31654,Jan,3
53064,Feb,1
28019,Oct,1
26947,Jul,1
54445,Dec,1
29483,Jan,1
35840,Jul,1
28688,Oct,2
32708,Feb,1
24464,Jun,1
45278,Oct,1
24147,Nov,1
32905,Jan,1
22551,Sep,2
27332,Apr,1
25378,Jul,1
27117,Feb,1
28118,Jul,1
26277,Mar,1
24156,Sep,1
32223,May,1
35082,Mar,1
33727,Nov,1
23064,Aug,1
22349,Oct,1
31291,Mar,2
10971,Jun,1
37223,Sep,2
33019,Sep,1
26884,Feb,1
28784,May,3
37672,Jan,1
24815,Jun,1
4770,Aug,1
38122,Oct,1
52798,Jan,1
33689,Aug,1
2025,May,1
30378,May,1
22559,May,1
41825,Apr,2
34181,Oct,1
26788,Nov,1
26293,Aug,1
54378,Apr,1
45509,Jan,1
34623,Feb,1
40470,Jan,1
28682,Jun,1
30942,May,1
48017,Mar,1
26292,Jan,1
27764,Jul,2
28702,Jul,1
28701,Dec,2
39053,Nov,1
23337,Aug,1
40091,Dec,1
36660,Nov,1
37665,Jun,1
38349,Mar,1
23014,Dec,1
25573,Jan,3
33953,Jan,1
35655,Jun,1
40228,Dec,1
42975,May,1
40079,Jun,1
29008,May,1
33378,Apr,1
28335,Jun,2
37200,Jul,1
26518,Dec,2
26430,Nov,1
22550,Jan,1
24234,Aug,1
27543,Dec,1
27635,Aug,1
31756,Sep,1
25122,Jan,1
33699,Apr,1
22559,Apr,1
35089,Feb,1
38984,Dec,1
38047,Mar,1
44802,Feb,1
26640,Jun,1
23978,Jul,1
29461,Jan,1
30173,Sep,1
44820,Feb,1
28120,Aug,1
35444,Oct,1
29460,Aug,1
20504,Aug,1
33845,Dec,1
38265,Jul,1
36292,Jun,1
40224,Apr,1
48672,Mar,1
5003,Jun,1
23689,Jul,1
38720,Dec,1
32226,Aug,2
34175,Apr,1
27792,Jun,1
42749,Dec,1
27604,Nov,1
44323,Jul,1
31426,Oct,1
30527,Jun,1
49393,Feb,1
29004,Oct,2
27806,Jan,1
44529,Jun,1
49851,Aug,1
45268,Nov,1
41379,Dec,2
36069,Jan,1
37388,Dec,1
23941,Nov,2
34606,Apr,1
37613,Jul,1
35670,Apr,1
29690,May,1
36695,Aug,2
22156,Aug,1
24196,May,3
39093,Sep,1
36531,Mar,1
7076,Oct,1
26715,Dec,1
35384,Oct,1
27609,Jul,1
55991,Mar,2
22826,Sep,1
32331,Jan,3
33834,Jan,2
35532,Jul,1
29160,Jun,2
26958,Dec,2
53710,Nov,1
18054,Nov,1
33090,Apr,1
10719,Nov,1
23496,Aug,2
28770,Jul,2
21495,Dec,1
26488,Apr,1
27202,Nov,2
38067,May,1
40464,Mar,2
45021,Mar,1
38988,Feb,1
20329,Mar,1
40541,Jul,1
24881,Nov,1
44802,Sep,1
24914,Aug,1
28447,Mar,1
23046,Apr,1
31188,Oct,1
23503,Dec,1
33601,Jan,1
28926,May,2
21413,May,1
34488,Nov,1
32455,May,1
30783,Sep,2
22893,Oct,1
37822,Nov,1
28008,Oct,1
22372,Jul,2
20524,Nov,1
21885,Feb,1
33543,Mar,1
19200,Jan,1
34640,Sep,1
35096,Aug,1
22792,Oct,2
